Station,Timestamp,GPP.mol_m2,GPP_err,fAPAR,PPFD.mol_m2,VPD.kPa,ALPHA,Tc.deg_C,CO2.ppm,Patm.Pa
UK-Ham,2005-07-01,34.9206,0.9573,0.4412,1244.7577,0.5055,0.725,17.30,378.81,100399.32
UK-Ham,2005-08-01,31.5064,0.9125,0.4184,1250.3891,0.4781,0.697,16.20,378.81,100399.32
UK-Ham,2005-09-01,20.8479,0.5984,0.4486,801.7551,0.3347,1.023,15.30,378.81,100399.32
UK-Ham,2005-10-01,12.0627,0.3969,0.4448,444.3372,0.2180,1.259,13.20,378.81,100399.32
UK-Her,2006-05-01,27.7972,0.2741,0.5318,458.3074,0.3047,1.259,12.50,380.93,99709.56
UK-Her,2006-06-01,35.7494,0.4507,0.4791,613.0138,0.5581,1.252,16.20,380.93,99709.56
US-ARM,2003-02-01,2.1547,0.2586,0.2196,632.0814,0.1934,1.259,3.10,374.97,97697.10
US-ARM,2003-03-01,6.3065,0.4028,0.2926,980.5751,0.4279,1.260,9.70,374.97,97697.10
US-ARM,2003-04-01,13.5450,0.6143,0.4220,1258.9187,0.7778,1.260,16.50,374.97,97697.10
US-ARM,2003-05-01,7.4479,0.2753,0.3959,1360.1708,0.7724,1.260,20.50,374.97,97697.10
US-ARM,2003-06-01,5.7378,0.1747,0.3207,1390.6830,0.8559,1.259,23.90,374.97,97697.10
US-ARM,2003-11-01,3.3325,0.1884,0.2837,497.4017,0.4325,1.259,10.00,374.97,97697.10
US-ARM,2003-12-01,1.9066,0.0420,0.2399,528.7008,0.3535,1.260,5.50,374.97,97697.10
US-ARM,2004-01-01,1.6913,0.0598,0.2204,534.8100,0.2234,1.259,3.10,376.78,97697.10
US-ARM,2004-03-01,6.0198,0.1066,0.2953,1006.8412,0.5543,1.260,12.60,376.78,97697.10
US-ARM,2004-04-01,12.4625,0.6922,0.3778,1138.2924,0.8081,1.260,16.20,376.78,97697.10
US-ARM,2004-06-01,5.3358,0.1757,0.3231,1351.0660,0.9473,1.247,24.40,376.78,97697.10
US-ARM,2004-07-01,6.6723,0.1588,0.3621,1456.2239,1.1129,1.260,26.40,376.78,97697.10
US-ARM,2004-11-01,2.0012,0.1987,0.2604,448.0599,0.3917,1.259,10.40,376.78,97697.10
US-ARM,2004-12-01,1.9684,0.0452,0.2499,605.1808,0.3662,1.260,5.70,376.78,97697.10
US-ARM,2005-02-01,2.4777,0.0752,0.2185,617.0272,0.3614,1.259,7.70,378.81,97697.10
US-ARM,2005-03-01,5.7931,0.3345,0.2638,1010.8325,0.5344,1.259,10.50,378.81,97697.10
US-ARM,2005-04-01,9.3447,0.4495,0.3359,1167.5172,0.7740,1.188,16.30,378.81,97697.10
US-ARM,2005-09-01,3.7566,0.1172,0.3052,1160.5959,1.1759,1.260,25.30,378.81,97697.10
US-ARM,2005-10-01,5.0361,0.1741,0.2809,846.8979,0.6997,1.260,17.60,378.81,97697.10
US-ARM,2005-11-01,3.5580,0.0687,0.2839,697.9566,0.5685,1.260,11.40,378.81,97697.10
US-ARM,2005-12-01,1.4875,0.0449,0.2607,526.8162,0.2180,1.259,3.00,378.81,97697.10
US-ARM,2006-01-01,2.2648,0.1854,0.2517,632.1398,0.4502,1.259,8.50,380.93,97697.10
US-ARM,2006-03-01,4.3819,0.2624,0.2445,921.9019,0.6163,0.966,12.20,380.93,97697.10
US-ARM,2006-04-01,12.6639,0.4760,0.3202,1236.4292,1.0431,1.088,19.70,380.93,97697.10
US-ARM,2006-05-01,8.7407,0.2403,0.3328,1447.3379,1.0772,1.075,22.20,380.93,97697.10
US-Aud,2005-09-01,9.6306,0.6990,0.2357,1089.5866,1.5259,0.801,23.90,378.81,85387.38
US-Aud,2005-10-01,2.3012,0.2004,0.1779,957.6308,1.1517,0.422,17.90,378.81,85387.38
US-Aud,2006-08-01,13.4772,0.8360,0.2787,1181.7553,1.3339,1.259,24.00,380.93,85387.38
US-Bar,2004-06-01,20.6890,0.7728,0.5645,1320.8018,0.3570,1.259,12.10,376.78,98205.60
US-Bar,2004-07-01,22.6108,0.8948,0.5902,1144.2476,0.2260,1.260,15.40,376.78,98205.60
US-Bar,2004-08-01,20.1979,0.8907,0.5344,1114.3961,0.2225,1.260,15.10,376.78,98205.60
US-Bar,2004-09-01,13.8045,0.5675,0.4590,890.6150,0.3038,1.259,11.90,376.78,98205.60
US-Bar,2005-06-01,21.3293,1.0550,0.5742,1172.0295,0.2836,1.259,15.20,378.81,98205.60
US-Bar,2005-07-01,21.9625,0.9115,0.6247,1349.4306,0.3939,1.259,16.80,378.81,98205.60
US-Bar,2005-08-01,18.3398,0.8425,0.5694,1140.3061,0.3818,1.260,16.70,378.81,98205.60
US-Bar,2005-09-01,13.4789,0.4969,0.5090,890.4339,0.3679,1.260,13.30,378.81,98205.60
US-Bar,2005-10-01,4.9351,0.1893,0.3935,509.6225,0.1552,1.260,6.10,378.81,98205.60
US-Bkg,2004-04-01,15.0778,0.8504,0.1809,1175.1957,0.4854,1.259,8.70,376.78,95540.34
US-Bkg,2004-05-01,18.9816,0.8363,0.2523,1091.4108,0.4732,1.259,13.60,376.78,95540.34
US-Bkg,2004-06-01,20.9710,1.1958,0.3756,1271.6736,0.6024,1.259,17.70,376.78,95540.34
US-Bkg,2004-07-01,13.9292,1.2417,0.5664,1287.5820,0.5626,1.129,20.90,376.78,95540.34
US-Bkg,2004-08-01,7.8143,0.4079,0.5829,1018.8883,0.4317,0.942,17.90,376.78,95540.34
US-Bkg,2004-10-01,7.1004,0.3417,0.2918,502.8937,0.3199,1.259,9.60,376.78,95540.34
US-Bkg,2004-11-01,2.2348,0.0669,0.1739,354.0544,0.2115,1.259,2.50,376.78,95540.34
US-Bkg,2004-12-01,0.8992,0.1151,0.1532,237.7216,0.0909,1.260,-4.40,376.78,95540.34
US-Bkg,2005-05-01,11.4576,0.7467,0.2435,1003.6680,0.4081,1.259,13.10,378.81,95540.34
US-Bkg,2005-06-01,10.8266,0.2857,0.4260,1094.7078,0.4926,1.257,20.90,378.81,95540.34
US-Bkg,2005-09-01,5.5732,0.3332,0.4157,851.7541,0.6926,1.170,19.20,378.81,95540.34
US-Bkg,2005-10-01,4.0890,0.2364,0.2761,557.0951,0.3125,1.259,10.00,378.81,95540.34
US-Bkg,2006-05-01,11.4966,0.7636,0.2829,1047.1379,0.6125,1.259,15.10,380.93,95540.34
US-Bkg,2006-06-01,16.2060,0.7576,0.3881,1125.8436,0.8628,1.000,20.30,380.93,95540.34
US-Bkg,2006-09-01,8.5327,0.4207,0.4673,592.6399,0.4118,1.259,14.50,380.93,95540.34
US-Blo,2002-01-01,2.3327,0.0766,0.3026,478.5419,0.2187,1.260,5.10,372.42,86956.03
US-Blo,2002-02-01,3.8078,0.3140,0.2958,695.6507,0.3736,1.259,7.40,372.42,86956.03
US-Blo,2002-03-01,5.5668,0.3217,0.3180,982.4954,0.3295,1.260,7.90,372.42,86956.03
US-Blo,2002-04-01,9.1106,0.5016,0.3714,1152.2593,0.4864,1.259,11.60,372.42,86956.03
US-Blo,2002-05-01,9.4535,0.6521,0.3980,1683.9407,0.7847,0.980,15.30,372.42,86956.03
US-Blo,2002-06-01,11.7479,0.7349,0.3857,1871.4092,1.2578,0.277,21.00,372.42,86956.03
US-Blo,2002-07-01,13.7783,1.0193,0.3673,1832.4616,1.8872,0.121,25.10,372.42,86956.03
US-Blo,2002-08-01,13.2974,0.7156,0.3484,1622.6748,1.7089,0.143,23.00,372.42,86956.03
US-Blo,2002-09-01,9.0272,0.5331,0.3242,1267.8434,1.3240,0.195,21.30,372.42,86956.03
US-Blo,2002-10-01,7.6158,0.5709,0.3065,985.3193,0.7105,0.324,14.30,372.42,86956.03
US-Blo,2002-11-01,5.9230,0.4534,0.2903,567.6616,0.3939,1.154,9.70,372.42,86956.03
US-Blo,2002-12-01,2.8319,0.0841,0.2904,323.9901,0.2750,1.260,7.70,372.42,86956.03
US-Blo,2003-01-01,4.9598,0.2456,0.3019,525.7492,0.4184,1.259,9.00,374.97,86956.03
US-Blo,2003-02-01,4.1424,0.0867,0.2982,679.5522,0.1883,1.260,6.60,374.97,86956.03
US-Blo,2003-03-01,7.6559,0.3228,0.3236,1036.3814,0.4243,1.260,9.90,374.97,86956.03
US-Blo,2003-04-01,7.6954,0.4364,0.3884,903.3164,0.2930,1.260,8.80,374.97,86956.03
US-Blo,2003-05-01,9.2770,0.4899,0.3705,1563.4768,0.7889,1.232,16.00,374.97,86956.03
US-Blo,2003-06-01,11.3458,0.6792,0.3902,1832.1305,1.3553,0.419,21.50,374.97,86956.03
US-Blo,2003-07-01,11.4766,0.5970,0.3744,1795.6247,2.0627,0.134,26.30,374.97,86956.03
US-Blo,2003-08-01,9.8287,0.6953,0.3464,1521.5211,1.6270,0.250,23.90,374.97,86956.03
US-Blo,2003-09-01,6.9485,0.4367,0.3172,1276.1899,1.3867,0.252,21.90,374.97,86956.03
US-Blo,2003-10-01,5.8850,0.3308,0.3094,1027.7251,0.8469,0.355,17.10,374.97,86956.03
US-Blo,2003-11-01,3.8854,0.2079,0.3010,506.7709,0.3105,1.190,8.10,374.97,86956.03
US-Blo,2003-12-01,3.5599,0.2110,0.2842,329.4552,0.3014,1.259,7.70,374.97,86956.03
US-Blo,2004-01-01,4.3392,0.2262,0.2908,543.6229,0.2617,1.259,6.20,376.78,86956.03
US-Blo,2004-02-01,4.1091,0.1475,0.2924,531.0948,0.2356,1.260,7.00,376.78,86956.03
US-Blo,2004-03-01,9.1167,0.3188,0.3197,1120.8336,0.4763,1.260,12.20,376.78,86956.03
US-Blo,2004-04-01,10.6775,0.3150,0.3630,1259.6890,0.6179,1.209,13.30,376.78,86956.03
US-Blo,2004-05-01,12.9262,0.8621,0.3768,1607.0579,0.8079,0.459,16.70,376.78,86956.03
US-Blo,2004-06-01,11.7161,0.6013,0.3760,1704.8853,1.2731,0.150,21.10,376.78,86956.03
US-Blo,2004-07-01,11.1287,0.5710,0.3594,1757.5729,1.8026,0.113,24.70,376.78,86956.03
US-Blo,2004-08-01,8.5822,0.5285,0.3379,1555.5433,1.6039,0.140,24.00,376.78,86956.03
US-Blo,2004-09-01,5.2154,0.3120,0.3243,1213.6096,1.2226,0.229,20.90,376.78,86956.03
US-Blo,2004-10-01,6.2340,0.2958,0.3150,755.4104,0.5295,1.119,14.10,376.78,86956.03
US-Blo,2004-11-01,5.7579,0.5205,0.3048,536.7895,0.2495,1.259,7.90,376.78,86956.03
US-Blo,2005-01-01,5.2196,0.2517,0.3292,427.4571,0.0897,1.259,4.40,378.81,86956.03
US-Blo,2005-02-01,6.4085,0.2086,0.3504,508.4101,0.2542,1.259,7.60,378.81,86956.03
US-Blo,2005-03-01,8.4978,0.3923,0.3428,792.2771,0.3302,1.259,9.90,378.81,86956.03
US-Blo,2005-04-01,10.3835,0.5621,0.3810,1127.6420,0.4444,1.260,10.50,378.81,86956.03
US-Blo,2005-05-01,9.4331,0.1347,0.3971,1327.4569,0.8531,1.260,15.90,378.81,86956.03
US-Blo,2005-06-01,14.2790,0.6575,0.3937,1672.7290,1.1476,0.930,18.80,378.81,86956.03
US-Blo,2005-07-01,15.6906,1.7830,0.3712,1833.6295,2.0830,0.222,26.40,378.81,86956.03
US-Blo,2005-08-01,17.3448,1.2022,0.3506,1603.1483,1.7341,0.151,24.60,378.81,86956.03
US-Blo,2005-09-01,14.7365,0.8842,0.3337,1249.6168,1.0757,0.291,19.20,378.81,86956.03
US-Blo,2005-10-01,11.9484,0.6999,0.3168,892.2727,0.6224,0.608,15.10,378.81,86956.03
US-Blo,2005-11-01,7.5683,0.3889,0.2904,508.9428,0.3833,1.225,10.30,378.81,86956.03
US-Blo,2005-12-01,5.7046,0.3141,0.2828,342.8898,0.3595,1.260,7.90,378.81,86956.03
US-Blo,2006-02-01,6.1532,0.4229,0.2780,652.7666,0.2895,1.260,7.20,380.93,86956.03
US-Blo,2006-03-01,5.8672,0.2271,0.3450,611.8545,0.1784,1.260,6.20,380.93,86956.03
US-Blo,2006-04-01,9.9758,0.2916,0.3252,948.4742,0.3988,1.259,10.90,380.93,86956.03
US-Blo,2006-05-01,16.7715,0.6190,0.4074,1552.5627,0.9269,1.189,17.10,380.93,86956.03
US-Blo,2006-06-01,16.5429,1.0686,0.3868,1664.7464,1.4618,0.365,22.30,380.93,86956.03
US-Blo,2006-07-01,17.3086,1.2802,0.3803,1746.8908,2.0829,0.123,26.40,380.93,86956.03
US-Blo,2006-08-01,16.3515,1.3585,0.3629,1611.8230,1.5204,0.143,23.00,380.93,86956.03
US-Blo,2006-09-01,12.7641,0.5997,0.3326,1229.1429,1.2055,0.192,20.20,380.93,86956.03
US-Blo,2006-10-01,9.9296,0.3542,0.3270,873.1494,0.5832,0.434,13.60,380.93,86956.03
US-Blo,2006-11-01,6.2578,0.3840,0.3026,459.2795,0.3179,1.168,9.70,380.93,86956.03
US-Blo,2006-12-01,5.1224,0.2014,0.2838,388.2132,0.2854,1.260,6.00,380.93,86956.03
US-Bo1,2002-08-01,25.0010,0.2712,0.6535,1131.4536,0.6228,1.182,23.60,372.42,98807.24
US-Bo1,2003-06-01,26.0930,0.9416,0.4176,1252.4076,0.6860,1.259,19.70,374.97,98807.24
US-Bo1,2003-07-01,48.8647,1.5499,0.6019,1437.4070,0.6189,1.250,23.00,374.97,98807.24
US-Bo1,2003-08-01,29.2178,2.8629,0.5803,1161.0024,0.6304,1.259,23.30,374.97,98807.24
US-Bo1,2004-07-01,42.0766,1.8072,0.6899,1097.7752,0.5891,1.260,22.10,376.78,98807.24
US-Bo1,2004-08-01,29.4395,2.1335,0.6772,1014.4092,0.5363,1.259,20.00,376.78,98807.24
US-Bo1,2005-07-01,44.3588,1.7968,0.6225,1307.1595,0.9709,0.825,24.20,378.81,98807.24
US-Bo1,2005-08-01,30.2442,1.9198,0.6632,1085.1710,0.9939,0.818,24.00,378.81,98807.24
US-Bo1,2006-07-01,31.8541,1.7065,0.6654,1180.4257,0.8926,1.188,24.70,380.93,98807.24
US-Bo1,2006-08-01,28.2049,1.4128,0.7058,956.3095,0.8004,1.242,23.30,380.93,98807.24
US-FPe,2003-05-01,7.6308,0.2178,0.1906,1277.3646,0.4051,0.790,11.20,374.97,94175.11
US-FPe,2003-06-01,10.9990,0.2534,0.3114,1362.9564,0.5647,0.586,16.00,374.97,94175.11
US-FPe,2004-05-01,7.9012,0.5026,0.1670,1129.2972,0.3238,0.788,9.40,376.78,94175.11
US-FPe,2004-06-01,8.5789,0.4559,0.3020,1224.1467,0.4583,0.769,13.70,376.78,94175.11
US-FPe,2005-10-01,1.8891,0.0774,0.1309,493.1741,0.2726,0.835,7.10,378.81,94175.11
US-Goo,2002-05-01,13.4065,0.6475,0.5074,1259.4095,0.4318,1.259,19.90,372.42,100318.65
US-Goo,2002-06-01,17.0192,0.8325,0.5192,1334.1982,0.5888,1.158,25.00,372.42,100318.65
US-Goo,2002-07-01,14.1748,0.9445,0.5115,1275.8008,0.6561,0.978,26.90,372.42,100318.65
US-Goo,2002-08-01,22.1907,0.7868,0.4913,1188.5220,0.7339,0.867,26.60,372.42,100318.65
US-Goo,2002-09-01,11.8755,0.9867,0.4190,908.3666,0.8449,1.180,24.50,372.42,100318.65
US-Goo,2002-10-01,6.1374,0.2302,0.3632,593.3742,0.3955,1.260,17.30,372.42,100318.65
US-Goo,2002-11-01,2.4114,0.2045,0.2843,530.9263,0.3078,1.259,9.50,372.42,100318.65
US-Goo,2002-12-01,1.6318,0.1275,0.2453,385.2109,0.1787,1.259,6.00,372.42,100318.65
US-Goo,2003-04-01,8.4336,0.4412,0.4173,1201.8589,0.5518,1.259,16.70,374.97,100318.65
US-Goo,2003-05-01,12.2160,0.3360,0.5145,1241.0627,0.5863,1.259,21.20,374.97,100318.65
US-Goo,2003-06-01,9.3982,0.6094,0.5212,1356.3968,0.5178,1.260,23.40,374.97,100318.65
US-Goo,2003-07-01,19.6554,0.8286,0.5143,1291.0700,0.7345,1.166,26.70,374.97,100318.65
US-Goo,2003-08-01,18.6548,1.1136,0.5014,1244.2152,0.8591,0.843,27.20,374.97,100318.65
US-Goo,2003-09-01,10.3132,1.0752,0.4466,1075.1792,0.5672,1.085,22.20,374.97,100318.65
US-Goo,2003-11-01,5.1357,1.4202,0.2630,579.5859,0.3495,1.260,12.60,374.97,100318.65
US-Goo,2004-03-01,4.4868,0.6401,0.2390,871.6222,0.4383,1.259,13.00,376.78,100318.65
US-Goo,2004-04-01,10.0695,0.6021,0.3870,996.0288,0.5815,1.260,15.80,376.78,100318.65
US-Goo,2004-05-01,20.5698,1.3999,0.5266,1194.7339,0.5453,1.260,21.50,376.78,100318.65
US-Goo,2004-06-01,25.5791,1.2525,0.5296,1031.7915,0.6900,1.259,24.20,376.78,100318.65
US-Goo,2004-07-01,23.9440,1.1402,0.5427,1114.7724,0.5934,1.259,25.70,376.78,100318.65
US-Goo,2004-08-01,23.5654,0.9630,0.4808,1062.1476,0.6619,1.259,24.10,376.78,100318.65
US-Goo,2004-09-01,17.6451,0.8514,0.4029,910.6580,0.6531,0.888,22.60,376.78,100318.65
US-Goo,2004-10-01,5.9617,0.6899,0.3225,499.0956,0.6157,1.131,19.20,376.78,100318.65
US-Goo,2004-11-01,2.3559,0.0777,0.3104,330.1185,0.3839,1.259,12.70,376.78,100318.65
US-Goo,2005-04-01,10.2328,0.5781,0.3698,1122.9098,0.5658,1.259,15.80,378.81,100318.65
US-Goo,2005-05-01,15.0997,0.6381,0.5065,1347.4277,0.6860,1.232,19.70,378.81,100318.65
US-Goo,2005-06-01,14.9821,0.9957,0.5159,1196.7955,0.7294,0.648,24.90,378.81,100318.65
US-Goo,2005-07-01,14.1193,1.3426,0.5341,1148.7970,0.8039,0.465,26.60,378.81,100318.65
US-Goo,2005-09-01,13.2752,0.7563,0.4346,1012.9987,0.8682,0.891,24.30,378.81,100318.65
US-Goo,2005-10-01,7.4407,0.1487,0.3876,826.5147,0.4739,0.765,16.80,378.81,100318.65
US-Goo,2005-11-01,2.7438,0.0606,0.2868,542.1374,0.4323,1.129,12.10,378.81,100318.65
US-Goo,2006-01-01,0.9596,0.1389,0.2200,434.5644,0.2930,1.260,8.80,380.93,100318.65
US-Goo,2006-02-01,1.4015,0.1273,0.2091,454.3716,0.1735,1.260,5.50,380.93,100318.65
US-Goo,2006-03-01,3.7740,0.3421,0.2387,821.2092,0.3946,1.260,11.80,380.93,100318.65
US-Goo,2006-04-01,12.5648,0.5803,0.3891,967.6522,0.8757,1.259,19.20,380.93,100318.65
US-Goo,2006-05-01,18.1294,0.7623,0.5189,1133.2496,0.6148,1.260,20.60,380.93,100318.65
US-Goo,2006-06-01,22.1334,0.9595,0.5254,1312.3176,0.8294,1.040,24.90,380.93,100318.65
US-Goo,2006-07-01,13.3947,0.8777,0.4997,1151.8719,0.8811,0.500,27.40,380.93,100318.65
US-Goo,2006-09-01,13.7117,0.5855,0.4073,875.8644,0.7110,1.103,22.10,380.93,100318.65
US-Goo,2006-10-01,8.0175,0.7687,0.3565,657.4487,0.4878,1.260,16.50,380.93,100318.65
US-Goo,2006-11-01,3.1535,0.1122,0.2591,548.6809,0.3744,1.260,10.90,380.93,100318.65
US-Ha1,2002-05-01,6.6785,0.4794,0.4205,1196.8811,0.5291,1.260,12.70,372.42,97438.03
US-Ha1,2002-06-01,25.3107,1.3393,0.5789,1245.3935,0.5612,1.259,18.00,372.42,97438.03
US-Ha1,2002-07-01,30.8051,1.8225,0.6011,1321.9216,0.8367,1.259,21.90,372.42,97438.03
US-Ha1,2002-08-01,26.3391,1.2381,0.5867,1225.2038,0.9529,1.154,22.00,372.42,97438.03
US-Ha1,2002-09-01,18.6310,1.1426,0.5177,866.6157,0.5512,1.224,18.00,372.42,97438.03
US-Ha1,2003-05-01,11.3530,1.0025,0.3405,1034.6941,0.4434,1.259,12.90,374.97,97438.03
US-Ha1,2003-06-01,28.1336,1.7851,0.5923,1096.4620,0.5372,1.260,18.50,374.97,97438.03
US-Ha1,2003-07-01,32.1953,1.7623,0.5920,1319.9027,0.8468,1.260,21.90,374.97,97438.03
US-Ha1,2003-08-01,33.2685,2.9200,0.5548,1053.1292,0.5829,1.259,22.00,374.97,97438.03
US-Ha1,2003-09-01,19.1285,1.0150,0.5219,762.2832,0.3600,1.260,16.80,374.97,97438.03
US-Ha1,2003-10-01,4.0409,0.4413,0.3844,635.7926,0.2841,1.260,9.20,374.97,97438.03
US-Ha1,2004-04-01,1.8040,0.2136,0.2594,965.1960,0.4892,1.260,8.70,376.78,97438.03
US-Ha1,2004-06-01,25.2838,1.5419,0.6098,1294.0200,0.6753,1.260,17.80,376.78,97438.03
US-Ha1,2004-07-01,35.3802,2.0077,0.6110,1166.6988,0.6450,1.260,20.80,376.78,97438.03
US-Ha1,2004-08-01,28.4595,2.2256,0.5671,1124.5932,0.5848,1.259,20.60,376.78,97438.03
US-Ha1,2004-09-01,21.0674,0.8860,0.4798,923.9472,0.4000,1.259,16.80,376.78,97438.03
US-Ha1,2004-10-01,6.4287,0.1128,0.3716,654.1320,0.3502,1.259,9.90,376.78,97438.03
US-Ha1,2005-04-01,1.8295,0.0702,0.2839,1105.7112,0.5562,1.260,9.10,378.81,97438.03
US-Ha1,2005-05-01,5.0425,0.3968,0.4013,1019.2212,0.5119,1.260,11.50,378.81,97438.03
US-Ha1,2005-07-01,35.8199,4.4359,0.6214,1165.2408,0.6867,1.259,21.90,378.81,97438.03
US-Ha1,2005-09-01,17.9036,2.6603,0.4940,881.1396,0.6342,1.257,18.10,378.81,97438.03
US-Ha1,2005-10-01,4.7544,0.4402,0.4001,395.5140,0.2719,1.260,11.10,378.81,97438.03
US-Ha1,2006-05-01,9.6152,0.7166,0.4041,1020.5244,0.5295,1.259,14.10,380.93,97438.03
US-Ha1,2006-06-01,36.9057,2.2163,0.5941,976.7448,0.5688,1.260,19.60,380.93,97438.03
US-Ha1,2006-07-01,48.0870,2.4809,0.6095,1310.8872,0.8189,1.259,23.00,380.93,97438.03
US-Ha1,2006-08-01,26.5624,1.3577,0.5543,1152.4284,0.7363,1.259,20.00,380.93,97438.03
US-Ha1,2006-09-01,17.0519,0.7275,0.4699,831.3732,0.4458,1.259,15.80,380.93,97438.03
US-Ha1,2006-10-01,6.6601,0.7357,0.3651,620.3808,0.3443,1.259,9.90,380.93,97438.03
US-Ha1,2006-11-01,1.3183,0.1420,0.2823,366.7860,0.2156,1.259,7.00,380.93,97438.03
US-Ho1,2002-04-01,8.7115,0.5270,0.2676,854.8853,0.1550,1.260,4.20,372.42,100630.09
US-Ho1,2002-05-01,15.2969,0.6704,0.3611,1174.8031,0.3661,1.259,9.80,372.42,100630.09
US-Ho1,2002-06-01,21.6788,1.0596,0.5127,1196.4199,0.4432,1.259,14.70,372.42,100630.09
US-Ho1,2002-07-01,26.2998,1.1191,0.5434,1179.0730,0.4713,1.260,18.90,372.42,100630.09
US-Ho1,2002-08-01,19.9503,1.1017,0.5239,1246.5725,0.5950,1.028,19.00,372.42,100630.09
US-Ho1,2002-09-01,16.6870,1.2602,0.4516,821.6193,0.2450,1.151,14.90,372.42,100630.09
US-Ho1,2002-10-01,9.4523,0.6274,0.3476,580.3949,0.1598,1.259,5.60,372.42,100630.09
US-Ho1,2003-05-01,15.4602,0.7376,0.3242,999.0556,0.3691,1.260,10.20,374.97,100630.09
US-Ho1,2003-06-01,19.1730,0.8543,0.5069,1248.6651,0.5140,1.260,16.30,374.97,100630.09
US-Ho1,2003-07-01,22.6382,0.9828,0.5367,1179.6687,0.5088,1.237,19.10,374.97,100630.09
US-Ho1,2003-08-01,22.3968,0.8574,0.4980,996.3303,0.3872,1.062,18.50,374.97,100630.09
US-Ho1,2003-09-01,16.0210,0.7714,0.4571,826.0926,0.2678,1.228,14.60,374.97,100630.09
US-Ho1,2003-10-01,9.1665,0.5186,0.3389,517.1942,0.1719,1.259,6.80,374.97,100630.09
US-Ho1,2004-04-01,7.8469,0.5614,0.2749,913.0564,0.2326,1.259,4.50,376.78,100630.09
US-Ho1,2004-05-01,15.9922,0.6380,0.3277,1123.5064,0.3958,1.260,10.80,376.78,100630.09
US-Ho1,2004-06-01,19.4613,0.8270,0.5132,1242.5746,0.4300,1.260,14.20,376.78,100630.09
US-Ho1,2004-07-01,24.3218,1.0380,0.5666,1084.5387,0.4372,1.259,18.50,376.78,100630.09
US-Ho1,2004-08-01,22.5676,1.0800,0.5142,1088.5566,0.4012,1.259,18.00,376.78,100630.09
US-Ho1,2004-09-01,17.0822,0.7571,0.4360,881.5061,0.2879,1.260,13.30,376.78,100630.09
US-Ho1,2004-10-01,10.7432,0.4504,0.3293,630.1373,0.2278,1.260,7.60,376.78,100630.09
US-Ho2,2002-04-01,5.0380,0.2292,0.2676,854.8853,0.1550,1.260,4.20,372.42,100272.57
US-Ho2,2002-05-01,14.9770,0.6662,0.3611,1174.8031,0.3661,1.259,9.80,372.42,100272.57
US-Ho2,2002-06-01,18.4621,1.2005,0.5127,1196.4199,0.4432,1.259,14.70,372.42,100272.57
US-Ho2,2002-07-01,22.5951,1.2409,0.5434,1179.0730,0.4713,1.260,18.90,372.42,100272.57
US-Ho2,2002-09-01,14.3804,1.0993,0.4516,821.6193,0.2450,1.151,14.90,372.42,100272.57
US-Ho2,2003-05-01,17.2641,1.1327,0.3242,999.0556,0.3691,1.260,10.20,374.97,100272.57
US-Ho2,2003-06-01,17.7951,1.0826,0.5069,1248.6651,0.5140,1.260,16.30,374.97,100272.57
US-Ho2,2003-07-01,21.7223,1.1281,0.5367,1179.6687,0.5088,1.237,19.10,374.97,100272.57
US-Ho2,2003-08-01,21.5590,1.2348,0.4980,996.3303,0.3872,1.062,18.50,374.97,100272.57
US-Ho2,2003-09-01,15.3300,1.1206,0.4571,826.0926,0.2678,1.228,14.60,374.97,100272.57
US-Ho2,2003-10-01,9.4059,0.5278,0.3389,517.1942,0.1719,1.259,6.80,374.97,100272.57
US-Ho2,2004-04-01,10.2164,0.7139,0.2749,913.0564,0.2326,1.259,4.50,376.78,100272.57
US-Ho2,2004-05-01,15.4672,0.9825,0.3277,1123.5064,0.3958,1.260,10.80,376.78,100272.57
US-Ho2,2004-06-01,16.9683,1.0118,0.5132,1242.5746,0.4300,1.260,14.20,376.78,100272.57
US-Ho2,2004-07-01,23.9400,1.6523,0.5666,1084.5387,0.4372,1.259,18.50,376.78,100272.57
US-Ho2,2004-08-01,19.1997,1.2524,0.5142,1088.5566,0.4012,1.259,18.00,376.78,100272.57
US-Ho2,2004-09-01,15.2687,0.8543,0.4360,881.5061,0.2879,1.260,13.30,376.78,100272.57
US-Ho2,2004-10-01,11.0102,0.5071,0.3293,630.1373,0.2278,1.260,7.60,376.78,100272.57
US-Los,2002-06-01,15.8426,0.5642,0.5275,1199.0054,0.3559,1.259,16.40,372.42,95873.03
US-Los,2002-07-01,22.0956,0.6725,0.5910,1473.0327,0.5399,1.259,20.50,372.42,95873.03
US-Los,2002-08-01,17.0600,0.4843,0.5328,1277.9825,0.3580,1.260,17.40,372.42,95873.03
US-Los,2002-09-01,5.0267,0.3028,0.4401,783.6107,0.2195,1.260,14.10,372.42,95873.03
US-Los,2003-06-01,9.1361,0.5683,0.5191,1334.3777,0.3580,1.260,15.20,374.97,95873.03
US-Los,2003-09-01,8.3330,0.3860,0.4346,867.1108,0.2634,1.243,12.90,374.97,95873.03
US-Los,2004-06-01,16.5439,3.2037,0.4816,1411.2056,0.4100,1.259,14.20,376.78,95873.03
US-Los,2005-06-01,17.0187,0.5799,0.5497,1456.7599,0.4847,1.259,18.00,378.81,95873.03
US-Los,2005-07-01,20.9371,0.6927,0.5893,1521.0015,0.5081,1.184,19.00,378.81,95873.03
